Time,Job,Link
2018-05-01 19:11,Autocad Drafter,https://newyork.craigslist.org/brk/egr/d/autocad-drafter/6577231844.html
2018-05-01 16:32,Construction Estimator / Project Manager,https://newyork.craigslist.org/que/egr/d/construction-estimator/6577083684.html
2018-05-01 15:15,Energy Efficiency - Clean Energy Outreach Specialist,https://newyork.craigslist.org/mnh/egr/d/energy-efficiency-clean/6577000781.html
2018-05-01 15:11,Architect/ Interior Designer,https://newyork.craigslist.org/mnh/egr/d/architect-interior-designer/6576996381.html
2018-05-01 10:27,Architectural Metal Fabricator,https://newyork.craigslist.org/brk/egr/d/architectural-metal-fabricator/6576666490.html
2018-05-01 09:31,Project Manager [Owners Rep] (High-end Retail & Hospitality),https://newyork.craigslist.org/mnh/egr/d/project-manager-owners-rep/6576614861.html
2018-05-01 09:24,Project Architect (High-end Retail & Hospitality),https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6576609514.html
2018-05-01 09:23,Project Architect (High-end Retail & Hospitality),https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6576608926.html
2018-04-30 23:08,FABRICATOR- welder. - Make stuff - ... dont make stuff up,https://newyork.craigslist.org/brk/egr/d/fabricator-welder-make-stuff/6576434819.html
2018-04-30 18:57,Industrial Design Manager,https://newyork.craigslist.org/mnh/egr/d/industrial-design-manager/6576253612.html
2018-04-30 18:56,Junior Architect / AutoCAD Draftsperson,https://newyork.craigslist.org/jsy/egr/d/junior-architect-autocad/6576252946.html
2018-04-30 18:10,Construction Project Managers / Esimators Wanted,https://newyork.craigslist.org/mnh/egr/d/construction-project-managers/6576211197.html
2018-04-30 17:45,Experience Senior Architect Needed,https://newyork.craigslist.org/mnh/egr/d/experience-senior-architect/6576187040.html
2018-04-30 17:43,Architect,https://newyork.craigslist.org/wch/egr/d/architect/6576184993.html
2018-04-30 16:43,Architectural/spatial design intern at art studio,https://newyork.craigslist.org/brk/egr/d/architectural-spatial-design/6576123046.html
2018-04-30 16:40,PROJECT ASSISTANT for Real Estate focused Digital Agency,https://newyork.craigslist.org/mnh/egr/d/project-assistant-for-real/6576119670.html
2018-04-30 12:58,Marketing Assistant/Graphic Designer for Creative Engineering Firm,https://newyork.craigslist.org/mnh/egr/d/marketing-assistant-graphic/6575855122.html
2018-04-30 12:50,Project Supervisor -- $40-50k,https://newyork.craigslist.org/mnh/egr/d/project-supervisor-40-50k/6575844052.html
2018-04-30 12:09,AutoCAD Draftsperson,https://newyork.craigslist.org/mnh/egr/d/autocad-draftsperson/6575792325.html
2018-04-30 11:27,Preservation/Exterior Envelope Project Manager,https://newyork.craigslist.org/mnh/egr/d/preservation-exterior/6575738639.html
2018-04-30 10:49,Preservation/Exterior Envelope Project Architect,https://newyork.craigslist.org/mnh/egr/d/preservation-exterior/6575694618.html
2018-04-30 10:47,Civil/Structural Engineering,https://newyork.craigslist.org/lgi/egr/d/civil-structural-engineering/6575691722.html
2018-04-30 09:47,Summer Internship/ Construction Management,https://newyork.craigslist.org/mnh/egr/d/summer-internship/6575628837.html
2018-04-30 09:35,Estimator / AutoCAD Drafter,https://newyork.craigslist.org/brk/egr/d/estimator-autocad-drafter/6575617710.html
2018-04-30 09:30,High-End Furniture gallery hiring retail sales - ALL LEVELS,https://newyork.craigslist.org/mnh/egr/d/high-end-furniture-gallery/6575613790.html
2018-04-30 09:17,Expediting Project Manager,https://newyork.craigslist.org/mnh/egr/d/expediting-project-manager/6575602652.html
2018-04-29 17:45,Project Manager/ Estimator,https://newyork.craigslist.org/que/egr/d/project-manager-estimator/6575217418.html
2018-04-29 12:24,ARCHITECT/DRAFTER,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6574916991.html
2018-04-28 18:31,Steel Detailer,https://newyork.craigslist.org/brk/egr/d/steel-detailer/6574467245.html
2018-04-27 21:45,Consultant (Chemicals & Energy),https://newyork.craigslist.org/brx/egr/d/consultant-chemicals-energy/6573693549.html
2018-04-27 17:48,Project Architect / Professional Engineer (Full Time),https://newyork.craigslist.org/que/egr/d/project-architect/6573511112.html
2018-04-27 17:01,Freelance Architectural Drafter,https://newyork.craigslist.org/mnh/egr/d/freelance-architectural/6573462330.html
2018-04-27 16:44,Facade / Building Envelope Engineer or Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6573444788.html
2018-04-27 16:43,Facade / Building Envelope Engineer or Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6573443566.html
2018-04-27 16:42,Facade / Building Envelope Project Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6573442168.html
2018-04-27 16:29,Assistant Project Manager for Restoration/Roofing Contractor,https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager-for/6573428619.html
2018-04-27 14:12,"Digital Fabrication, CAD Design, Fabrication Professional",https://newyork.craigslist.org/brk/egr/d/digital-fabrication-cad/6573269124.html
2018-04-27 13:54,OFFICE MANAGER,https://newyork.craigslist.org/brk/egr/d/office-manager/6573247408.html
2018-04-27 12:50,Architect/Expeditor,https://newyork.craigslist.org/brk/egr/d/architect-expeditor/6573168588.html
2018-04-27 12:47,Construction Quantity Take-Off,https://newyork.craigslist.org/brk/egr/d/construction-quantity-take-off/6573165699.html
2018-04-27 11:30,Millwork shop drawings - Draftsman,https://newyork.craigslist.org/brk/egr/d/millwork-shop-drawings/6573070473.html
2018-04-27 09:41,Junior Architect/Draftsman,https://newyork.craigslist.org/wch/egr/d/junior-architect-draftsman/6572953876.html
2018-04-27 09:37,Architect/Project Manager,https://newyork.craigslist.org/wch/egr/d/architect-project-manager/6572950745.html
2018-04-27 09:09,Junior Architect,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6572925587.html
2018-04-26 17:30,Architect needed Midtown NYC,https://newyork.craigslist.org/mnh/egr/d/architect-needed-midtown-nyc/6572520183.html
2018-04-26 16:55,AutoCAD drafter/ assistant manager,https://newyork.craigslist.org/brk/egr/d/autocad-drafter-assistant/6572485147.html
2018-04-26 16:29,Architect field representative,https://newyork.craigslist.org/mnh/egr/d/architect-field-representative/6572457774.html
2018-04-26 15:56,ASSISTANT MECHANICAL PROJECT MANAGER,https://newyork.craigslist.org/mnh/egr/d/assistant-mechanical-project/6572423497.html
2018-04-26 15:52,Registered Architect needed for immediate hire,https://newyork.craigslist.org/mnh/egr/d/registered-architect-needed/6572419283.html
2018-04-26 14:22,Project Architect / Designer,https://newyork.craigslist.org/fct/egr/d/project-architect-designer/6572318515.html
2018-04-26 14:18,Project Manager,https://newyork.craigslist.org/mnh/egr/d/project-manager/6572313843.html
2018-04-26 13:13,MECHANICAL DRAFTSPERSON,https://newyork.craigslist.org/mnh/egr/d/mechanical-draftsperson/6572237891.html
2018-04-26 13:07,JR. ENGINEER/ARCHITECT,https://newyork.craigslist.org/mnh/egr/d/jr-engineer-architect/6572230305.html
2018-04-26 12:40,HVAC Mechanic Needed asap!,https://newyork.craigslist.org/mnh/egr/d/hvac-mechanic-needed-asap/6572198842.html
2018-04-26 12:38,Architecture / Interior Designer,https://newyork.craigslist.org/brk/egr/d/architecture-interior-designer/6572196071.html
2018-04-26 10:10,Part Time CNC operator,https://newyork.craigslist.org/mnh/egr/d/part-time-cnc-operator/6572029277.html
2018-04-26 10:09,Draftsperson Detailer,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6572028287.html
2018-04-26 00:16,Masonry skill,https://newyork.craigslist.org/wch/egr/d/masonry-skill/6571841604.html
2018-04-25 22:58,"Architect or project manager,",https://newyork.craigslist.org/brk/egr/d/architect-or-project-manager/6571808779.html
2018-04-25 18:25,Project Architect,https://newyork.craigslist.org/brk/egr/d/project-architect/6571614979.html
2018-04-25 17:54,AutoCAD Draftsman - START IMMEDIATELY,https://newyork.craigslist.org/brk/egr/d/autocad-draftsman-start/6571585881.html
2018-04-25 17:27,Junior Architect,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6571558718.html
2018-04-25 17:05,High-End residential construction project manager,https://newyork.craigslist.org/que/egr/d/high-end-residential/6571536134.html
2018-04-25 15:29,Construction Site Superintendent for New Construction project,https://newyork.craigslist.org/que/egr/d/construction-site/6571433985.html
2018-04-25 12:33,Land Surveying - Party Chief and Transit person,https://newyork.craigslist.org/fct/egr/d/land-surveying-party-chief/6571221071.html
2018-04-24 17:54,Auto Cad Draftsperson,https://newyork.craigslist.org/que/egr/d/auto-cad-draftsperson/6570598812.html
2018-04-24 16:27,Experience Watermain Sewer Foreman,https://newyork.craigslist.org/que/egr/d/experience-watermain-sewer/6570507315.html
2018-04-24 16:18,"Project Architect, Revit Experience",https://newyork.craigslist.org/mnh/egr/d/project-architect-revit/6570497488.html
2018-04-24 13:44,Mid Level Electrical Engineers (2+ Years-with REVIT),https://newyork.craigslist.org/mnh/egr/d/mid-level-electrical/6570313413.html
2018-04-24 13:42,Jr. Plumbing -Fire Protection Engineers/REVIT,https://newyork.craigslist.org/mnh/egr/d/jr-plumbing-fire-protection/6570310952.html
2018-04-24 13:40,Mechanical/Plumbing/Electrical Engineers and Internship,https://newyork.craigslist.org/que/egr/d/mechanical-plumbing/6570308672.html
2018-04-24 13:40,Jr. Mechanical Engineers/REVIT,https://newyork.craigslist.org/mnh/egr/d/jr-mechanical-engineers-revit/6570308300.html
2018-04-24 13:38,Mid Level Mechanical Engineers (2+ Years-with REVIT),https://newyork.craigslist.org/mnh/egr/d/mid-level-mechanical/6570305493.html
2018-04-24 13:33,Mid Level Plumbing/Fire Protection Engineers (2+ Years-with REVIT),https://newyork.craigslist.org/mnh/egr/d/mid-level-plumbing-fire/6570299081.html
2018-04-24 12:44,DRAFTER (AutoCAD),https://newyork.craigslist.org/que/egr/d/drafter-autocad/6570237705.html
2018-04-24 12:14,Architectural Project Associate,https://newyork.craigslist.org/mnh/egr/d/architectural-project/6570200925.html
2018-04-24 11:36,INTERIOR DESIGN SALES ASSOCIATE,https://newyork.craigslist.org/mnh/egr/d/interior-design-sales/6570152562.html
2018-04-24 11:29,AUTO MECHANIC WANTED!!! F/T POSITION AVAILABLE,https://newyork.craigslist.org/stn/egr/d/auto-mechanic-wanted-t/6570144314.html
2018-04-24 10:39,Residential Sr. Project Manager - Construction,https://newyork.craigslist.org/mnh/egr/d/residential-sr-project/6570087278.html
2018-04-24 10:18,Electrical helper needed,https://newyork.craigslist.org/que/egr/d/electrical-helper-needed/6570064540.html
2018-04-24 10:17,Expeditor,https://newyork.craigslist.org/mnh/egr/d/expeditor/6570064029.html
2018-04-24 10:10,Healthcare Designer,https://newyork.craigslist.org/lgi/egr/d/healthcare-designer/6570056607.html
2018-04-24 10:05,Production Equipment Sales and Rentals @ Pro Video Shop,https://newyork.craigslist.org/mnh/egr/d/production-equipment-sales/6570051223.html
2018-04-24 09:39,NYC DOB Expediter Seeks Class 1 or 2 Filing Rep,https://newyork.craigslist.org/que/egr/d/nyc-dob-expediter-seeks-class/6570025772.html
2018-04-24 09:15,"Architectual Metal engineer draftsmen, Your Own Boss relaxed environmt",https://newyork.craigslist.org/brk/egr/d/architectual-metal-engineer/6570005408.html
2018-04-23 21:56,Junior Architect,https://newyork.craigslist.org/mnh/egr/d/junior-architect/6569793269.html
2018-04-23 18:21,Kitchen Designer/ Salesperson,https://newyork.craigslist.org/fct/egr/d/kitchen-designer-salesperson/6569618511.html
2018-04-23 18:02,INTERIOR DESIGNER,https://newyork.craigslist.org/mnh/egr/d/interior-designer/6569599475.html
2018-04-23 15:01,Construction Superintendent,https://newyork.craigslist.org/mnh/egr/d/construction-superintendent/6569393617.html
2018-04-23 14:42,Architectural CAD Drafter/ Part Time,https://newyork.craigslist.org/brk/egr/d/architectural-cad-drafter/6569371007.html
2018-04-23 14:42,Intermediate and Junior Architect,https://newyork.craigslist.org/que/egr/d/intermediate-and-junior/6569369859.html
2018-04-23 13:20,ELECTRICAL ENGINEERS,https://newyork.craigslist.org/mnh/egr/d/electrical-engineers/6569266143.html
2018-04-23 12:49,Millwork draftsperson,https://newyork.craigslist.org/mnh/egr/d/millwork-draftsperson/6569226005.html
2018-04-23 11:53,Junior Architectural Designer,https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/6569152808.html
2018-04-23 11:39,Senior Engineer,https://newyork.craigslist.org/mnh/egr/d/senior-engineer/6569133817.html
2018-04-23 11:07,Lead Designer Position - Immediate Hire,https://newyork.craigslist.org/mnh/egr/d/lead-designer-position/6569094061.html
2018-04-23 11:07,Estimator for Masonry Work,https://newyork.craigslist.org/wch/egr/d/estimator-for-masonry-work/6569093977.html
2018-04-23 10:39,Furniture  Consultant,https://newyork.craigslist.org/mnh/egr/d/furniture-consultant/6569060688.html
2018-04-23 10:17,CAD Draftsman/Estimator,https://newyork.craigslist.org/que/egr/d/cad-draftsman-estimator/6569035539.html
2018-04-23 10:16,Construction Estimator/Project Manager,https://newyork.craigslist.org/que/egr/d/construction-estimator/6569033957.html
2018-04-22 23:52,IT Support Specialist / CAD Specialist,https://newyork.craigslist.org/mnh/egr/d/it-support-specialist-cad/6568827339.html
2018-04-22 13:14,Senior Mechanical Engineer - Infrastructure and building projects,https://newyork.craigslist.org/mnh/egr/d/senior-mechanical-engineer/6568339658.html
2018-04-22 12:41,Senior Project Manager - Construction Manager,https://newyork.craigslist.org/mnh/egr/d/senior-project-manager/6568307963.html
2018-04-22 10:11,Junior Architectural Designer,https://newyork.craigslist.org/que/egr/d/junior-architectural-designer/6568179443.html
2018-04-21 12:05,NEED AN AUTO-CAD DESIGNER FOR RETAIL FLOORPLANNINGS & DISPLAYS. PT/FT,https://newyork.craigslist.org/brk/egr/d/need-an-auto-cad-designer-for/6567448973.html
2018-04-20 18:18,Facade / Building Envelope Engineer or Architect,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6566923277.html
2018-04-20 18:16,Exterior Restoration / Recent Graduate,https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6566921678.html
2018-04-20 18:04,Facade / Building Envelope Project Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6566910907.html
2018-04-20 15:05,Sales person for Kitchen & Bath remodeling company,https://newyork.craigslist.org/mnh/egr/d/sales-person-for-kitchen-bath/6566719159.html
2018-04-20 13:29,Draftsperson / Architectural Woodwork,https://newyork.craigslist.org/que/egr/d/draftsperson-architectural/6566602460.html
2018-04-20 12:48,Electrical Engineer,https://newyork.craigslist.org/jsy/egr/d/electrical-engineer/6566552292.html
2018-04-20 12:45,Plumbing / Fire Protection Designer,https://newyork.craigslist.org/jsy/egr/d/plumbing-fire-protection/6566547435.html
2018-04-20 12:26,Assistant Project Manager / Project Manager Position,https://newyork.craigslist.org/brk/egr/d/assistant-project-manager/6566523377.html
2018-04-20 12:23,CONSTRUCTION SUPERINTENDENT,https://newyork.craigslist.org/mnh/egr/d/construction-superintendent/6566520395.html
2018-04-20 11:59,CONSTRUCTION ESTIMATOR POSITION,https://newyork.craigslist.org/lgi/egr/d/construction-estimator/6566490112.html
2018-04-20 11:45,Engineering Field Technician,https://newyork.craigslist.org/mnh/egr/d/engineering-field-technician/6566472699.html
2018-04-20 11:45,CPM Scheduler,https://newyork.craigslist.org/mnh/egr/d/cpm-scheduler/6566472360.html
2018-04-20 11:35,Plumbing/ Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6566460727.html
2018-04-20 10:58,Senior Mechanical Engineer,https://newyork.craigslist.org/mnh/egr/d/senior-mechanical-engineer/6566416307.html
2018-04-19 22:55,Intermediate Architectural Designer / Job Captain / Project Architect,https://newyork.craigslist.org/mnh/egr/d/intermediate-architectural/6566144885.html
2018-04-19 21:11,Architect,https://newyork.craigslist.org/jsy/egr/d/architect/6566085503.html
2018-04-19 19:17,dental assistant for sundays,https://newyork.craigslist.org/que/egr/d/dental-assistant-for-sundays/6566003373.html
2018-04-19 18:55,Assistant Interior Designer,https://newyork.craigslist.org/mnh/egr/d/assistant-interior-designer/6565985387.html
2018-04-19 17:26,Autocad Drafter and Construction manager,https://newyork.craigslist.org/brk/egr/d/autocad-drafter-and/6565906429.html
2018-04-19 16:45,PROJECT ASSISTANT for Real Estate focused Digital Agency,https://newyork.craigslist.org/mnh/egr/d/project-assistant-for-real/6565864122.html
2018-04-19 16:02,Senior Designer | Space Planning/ Leadership Role,https://newyork.craigslist.org/mnh/egr/d/senior-designer-space/6565819639.html
2018-04-19 15:21,ESTIMATOR  FOR  JOCS  GORDIAN PROJECTS,https://newyork.craigslist.org/mnh/egr/d/estimator-for-jocs-gordian/6565774714.html
2018-04-19 13:44,Architectural Designer / Renderings | Luxury Retail,https://newyork.craigslist.org/mnh/egr/d/architectural-designer/6565663499.html
2018-04-19 13:31,Estimator,https://newyork.craigslist.org/brk/egr/d/estimator/6565647849.html
2018-04-19 13:11,WANT: CAD Drafters,https://newyork.craigslist.org/brk/egr/d/want-cad-drafters/6565623805.html
2018-04-19 12:25,Interior Design Assistant / Project Manager,https://newyork.craigslist.org/mnh/egr/d/interior-design-assistant/6565567249.html
2018-04-19 12:23,Senior P.E. Mechanical Engineer | HVAC/Fire Protection,https://newyork.craigslist.org/mnh/egr/d/senior-pe-mechanical-engineer/6565565346.html
2018-04-19 10:07,General Construction Estimator Position for Public/Gov't Contracts,https://newyork.craigslist.org/brk/egr/d/general-construction/6565411375.html
2018-04-19 09:46,Project Architect (High-end Retail & Hospitality),https://newyork.craigslist.org/mnh/egr/d/project-architect-high-end/6565391450.html
2018-04-19 09:40,Project Architect - Retail Restaurant or Café,https://newyork.craigslist.org/mnh/egr/d/project-architect-retail/6565386534.html
2018-04-18 21:15,FAST PACED LEAD FLORIST WANTED!!!,https://newyork.craigslist.org/brk/egr/d/fast-paced-lead-florist-wanted/6565142186.html
2018-04-18 16:32,Store Development/Development Services Coordinator,https://newyork.craigslist.org/mnh/egr/d/store-development-development/6564902588.html
2018-04-18 14:41,Engineering Graduates Interested in Fire Protection Engineering!,https://newyork.craigslist.org/mnh/egr/d/engineering-graduates/6564779164.html
2018-04-18 11:36,CONSTRUCTION SUPERINTENDENT,https://newyork.craigslist.org/que/egr/d/construction-superintendent/6564557981.html
2018-04-18 11:27,Electronic Lab Technician,https://newyork.craigslist.org/brx/egr/d/electronic-lab-technician/6564546492.html
2018-04-18 11:21,Architects,https://newyork.craigslist.org/mnh/egr/d/architects/6564539953.html
2018-04-18 10:27,Architect,https://newyork.craigslist.org/wch/egr/d/architect/6564479729.html
2018-04-18 09:49,Interiors Project Manager,https://newyork.craigslist.org/mnh/egr/d/interiors-project-manager/6564441629.html
2018-04-18 09:48,AutoCAD Drafter,https://newyork.craigslist.org/que/egr/d/autocad-drafter/6564441064.html
2018-04-18 09:06,ARCHITECT  (Long Island City),https://newyork.craigslist.org/que/egr/d/architect-long-island-city/6564405841.html
2018-04-18 08:27,Construction Project Manager,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6564383048.html
2018-04-18 05:50,JUNIOR ARCHITECT,https://newyork.craigslist.org/que/egr/d/junior-architect/6564338468.html
2018-04-17 23:09,CAD / CAM Operator,https://newyork.craigslist.org/wch/egr/d/cad-cam-operator/6564251753.html
2018-04-17 17:16,Jr. Architect/CAD Draftperson,https://newyork.craigslist.org/lgi/egr/d/jr-architect-cad-draftperson/6563989830.html
2018-04-17 17:09,Architectural position,https://newyork.craigslist.org/mnh/egr/d/architectural-position/6563982151.html
2018-04-17 16:30,Mechanical Technician I,https://newyork.craigslist.org/brk/egr/d/mechanical-technician/6563940477.html
2018-04-17 15:30,Architectural Draft Professional,https://newyork.craigslist.org/fct/egr/d/architectural-draft/6563875628.html
2018-04-17 14:23,Associate Project Manager,https://newyork.craigslist.org/brx/egr/d/associate-project-manager/6563797222.html
2018-04-17 13:12,"Full-Time ""Estimator"" Needed for High End Custom Glass & Metal Co.",https://newyork.craigslist.org/brx/egr/d/full-time-estimator-needed/6563711596.html
2018-04-17 12:23,FULL TIME PROJECT MANAGER,https://newyork.craigslist.org/mnh/egr/d/full-time-project-manager/6563651793.html
2018-04-17 12:10,Jr Civil Engineer .,https://newyork.craigslist.org/que/egr/d/jr-civil-engineer/6563636424.html
2018-04-17 12:02,Architect needed Midtown NYC,https://newyork.craigslist.org/mnh/egr/d/architect-needed-midtown-nyc/6563626066.html
2018-04-17 11:42,Drafter/ Estimator Architectural Metal and Glass Shop,https://newyork.craigslist.org/brx/egr/d/drafter-estimator/6563603178.html
2018-04-17 10:25,Project Manager,https://newyork.craigslist.org/que/egr/d/project-manager/6563517756.html
2018-04-17 09:30,Architecture Firm Seeking Junior Architect/Draftsman,https://newyork.craigslist.org/brk/egr/d/architecture-firm-seeking/6563465803.html
2018-04-17 09:24,Project Manager,https://newyork.craigslist.org/mnh/egr/d/project-manager/6563460988.html
2018-04-17 08:47,Junior Architect/Interior Designer,https://newyork.craigslist.org/mnh/egr/d/junior-architect-interior/6563434958.html
2018-04-17 08:15,Structural Engineer / Special inspection,https://newyork.craigslist.org/mnh/egr/d/structural-engineer-special/6563417716.html
2018-04-16 18:48,Project Manager (DOB Expediter),https://newyork.craigslist.org/mnh/egr/d/project-manager-dob-expediter/6563111256.html
2018-04-16 18:25,Senior Plumbing/Sprinkler Estimator,https://newyork.craigslist.org/brx/egr/d/senior-plumbing-sprinkler/6563090189.html
